,block_num,tx_time,tx_from,tx_to,tx_amount,tx_fee,account_value
0xa6f0...7978b8,37503757,"Sep 03, 2020  20:45:24  /  UTC+9",0xa6f0...7978b8,0x2968...c4e5a8,-21400,0.000775,150771017.0
0x6502...be7041,37504096,"Sep 03, 2020  20:51:03  /  UTC+9",0x6502...be7041,0x2968...c4e5a8,2000,0.000775,150773017.0
0xfccd...51276e,37504546,"Sep 03, 2020  20:58:33  /  UTC+9",0xfccd...51276e,0x2968...c4e5a8,-2074,0.000775,150695201.0
0x2b1c...a948ab,37504534,"Sep 03, 2020  20:58:21  /  UTC+9",0x2b1c...a948ab,0x2968...c4e5a8,-100,0.000775,150695201.0
0x68c5...39f7d9,37504460,"Sep 03, 2020  20:57:07  /  UTC+9",0x68c5...39f7d9,0x2968...c4e5a8,-492,0.000775,150695201.0
0xb64a...ec673e,37504447,"Sep 03, 2020  20:56:54  /  UTC+9",0xb64a...ec673e,0x2968...c4e5a8,-21410,0.000775,150695201.0
0xb554...51f76f,37504435,"Sep 03, 2020  20:56:42  /  UTC+9",0xb554...51f76f,0x2968...c4e5a8,-1900,0.000775,150695201.0
0x10e7...f091a5,37504422,"Sep 03, 2020  20:56:29  /  UTC+9",0x10e7...f091a5,0x2968...c4e5a8,-1931,0.000775,150695201.0
0x2b2b...342fec,37504346,"Sep 03, 2020  20:55:13  /  UTC+9",0x2b2b...342fec,0x2968...c4e5a8,-990,0.000775,150695201.0
0x6c25...b66852,37504334,"Sep 03, 2020  20:55:01  /  UTC+9",0x6c25...b66852,0x2968...c4e5a8,-6104,0.000775,150695201.0
0x82bb...c85116,37504255,"Sep 03, 2020  20:53:42  /  UTC+9",0x82bb...c85116,0x2968...c4e5a8,-21410,0.000775,150695201.0
0x4240...5e1e23,37504119,"Sep 03, 2020  20:51:26  /  UTC+9",0x4240...5e1e23,0x2968...c4e5a8,-21400,0.000775,150695201.0
0x5f5c...7bede0,37504637,"Sep 03, 2020  21:00:04  /  UTC+9",0x5f5c...7bede0,0x2968...c4e5a8,-3000,0.000775,150670791.0
